s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
Time,"sortie niv -1 nord","sortie niv -2 nord","sortie niv -1 sud","sortie niv -2 sud","escalier 1.2","escalier 2.2","escalier 2.2","escalier 3.2","escalier 4.2","escalier 4.2","escalier 1.1","escalier 2.1","escalier 2.1","escalier 3.1","escalier 4.1","escalier 4.1"
 3.0646982E+001, 9.2983485E-002, 2.9309558E-002, 6.7840681E-002, 1.0995716E-001, 3.8085782E-001, 2.4402834E-001, 4.6549772E-003,-1.3758154E-001,-3.3010827E-001,-1.8800633E-001, 5.0163867E-001, 6.5773187E-001, 4.5623394E-002, 8.0956308E-003,-1.9456669E-001,-3.6619062E-001
 3.2444755E+001, 9.3364968E-002, 1.3137261E-001, 8.1852430E-002, 8.7991731E-002, 2.3052928E-001, 2.0750412E-001, 1.2391536E-002,-1.2003318E-001,-3.1032281E-001,-1.7923041E-001, 4.0252053E-001, 6.9471519E-001, 6.5083930E-002, 1.0053876E-001,-1.5587059E-001,-2.8901279E-001
 3.4225301E+001, 1.1745607E-001, 2.1197563E-002, 1.1031975E-001,-2.5319494E-002, 3.1103413E-001, 2.1523247E-001, 1.9822505E-002,-8.9050329E-002,-2.6280972E-001,-1.5285521E-001, 3.1833467E-001, 6.3181327E-001, 6.9584191E-002, 1.2777353E-001,-1.2766567E-001,-2.4063887E-001
 3.6021778E+001, 8.6787662E-002,-7.2574549E-002, 6.9670495E-002, 2.5689271E-002, 3.8332538E-001, 2.4655857E-001, 1.8496222E-002,-8.8464191E-002,-2.5086514E-001,-1.4742892E-001, 3.3275066E-001, 6.3331140E-001, 6.8559994E-002, 1.0210693E-001,-1.4371350E-001,-2.7103578E-001
 3.7818254E+001,-1.9293734E-003, 3.1499596E-002, 7.6769647E-004, 8.8965441E-003, 4.3763134E-001, 2.8041141E-001, 1.2315872E-002,-1.7714305E-001,-3.6637152E-001,-2.1859934E-001, 4.2324852E-001, 7.2431300E-001, 7.1465642E-002, 8.2935175E-002,-1.9493797E-001,-3.5356755E-001
 3.9614731E+001,-3.6850455E-002, 7.2508229E-002,-2.3689645E-002,-1.2830046E-002, 4.6978116E-001, 2.8627516E-001, 7.7249430E-003,-2.6942547E-001,-4.7019288E-001,-2.8714975E-001, 4.5861142E-001, 7.6025063E-001, 7.3890606E-002, 1.0020413E-001,-2.1476833E-001,-3.7244500E-001
 4.1411208E+001,-4.7754270E-002,-1.0309860E-002,-4.9291462E-002, 4.0733555E-002, 4.0173897E-001, 2.6245235E-001, 1.4939342E-002,-2.1411471E-001,-3.9289672E-001,-2.4793190E-001, 3.9341558E-001, 7.5031265E-001, 8.5325183E-002, 1.5109470E-001,-1.8004215E-001,-3.0121680E-001
 4.3207685E+001,-5.1142982E-002,-4.5091658E-002,-5.3888976E-002,-3.7653927E-002, 3.2198459E-001, 2.6496834E-001, 3.3689221E-002,-5.8490905E-002,-2.1145709E-001,-1.4669960E-001, 2.6782804E-001, 7.0207206E-001, 9.7490878E-002, 1.8058657E-001,-1.3693954E-001,-2.2403502E-001
 4.5004161E+001,-3.6393799E-002,-5.2456276E-002,-2.2337635E-002,-1.0410883E-001, 2.9114732E-001, 2.7221750E-001, 4.5918911E-002, 1.0601771E-002,-1.4301694E-001,-1.0990877E-001, 1.6248286E-001, 6.4273844E-001, 9.7324724E-002, 1.8229359E-001,-1.2303292E-001,-1.9871490E-001
 4.6844001E+001,-4.1909057E-002,-4.1680156E-002,-3.4639944E-002, 3.8246539E-003, 2.5589354E-001, 2.6397191E-001, 4.1919701E-002,-6.2941783E-002,-2.2856744E-001,-1.6076580E-001, 1.5528991E-001, 6.8513351E-001, 9.1881956E-002, 2.0043088E-001,-1.2656303E-001,-1.9711256E-001
