s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 4.7340228E+002, 1.5043186E+003,-5.0786974E+002,-1.7203677E+002,-5.6899190E+002,-1.8228295E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4137003E+002, 2.5523794E+002, 3.1904834E-002, 3.1904834E-002
 4.7520578E+002, 1.4894531E+003,-5.1403444E+002,-1.6275043E+002,-5.6601348E+002,-1.8323698E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3018754E+002, 2.4647157E+002, 3.2148651E-002, 3.2148651E-002
 4.7700851E+002, 1.5109506E+003,-5.2170310E+002,-1.6253452E+002,-5.7168710E+002,-1.8436988E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3577584E+002, 2.5484147E+002, 3.2393463E-002, 3.2393463E-002
 4.7881433E+002, 1.5250002E+003,-5.2215561E+002,-1.7091390E+002,-5.7611748E+002,-1.8620221E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3607814E+002, 2.5562696E+002, 3.2639457E-002, 3.2639457E-002
 4.8060162E+002, 1.5395615E+003,-5.2580659E+002,-1.7954014E+002,-5.8333993E+002,-1.8769978E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3395832E+002, 2.5068711E+002, 3.2885195E-002, 3.2885195E-002
 4.8240714E+002, 1.5409268E+003,-5.2909323E+002,-1.7439715E+002,-5.8553301E+002,-1.8907721E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3310115E+002, 2.5171435E+002, 3.3132119E-002, 3.3132119E-002
 4.8420441E+002, 1.5665917E+003,-5.3873225E+002,-1.7625385E+002,-5.9456546E+002,-1.8984792E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3800296E+002, 2.5685031E+002, 3.3380425E-002, 3.3380425E-002
 4.8601703E+002, 1.5717276E+003,-5.4133792E+002,-1.8672635E+002,-6.0360941E+002,-1.9118459E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1760373E+002, 2.3986278E+002, 3.3630195E-002, 3.3630195E-002
 4.8780521E+002, 1.5773362E+003,-5.4724085E+002,-1.8612433E+002,-6.0606403E+002,-1.9291339E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2532622E+002, 2.3771403E+002, 3.3880233E-002, 3.3880233E-002
 4.8962479E+002, 1.5634685E+003,-5.5351655E+002,-1.7341149E+002,-6.1272358E+002,-1.9342688E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0551095E+002, 2.2362345E+002, 3.4131649E-002, 3.4131649E-002
